flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,CF1,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', '15057e97-7b47-405e-8222-6ed5cf4e0087')",Terbufos,"('soil', 'agricultural')",kilogram,Terbufos,C9H21O2PS3,288.4,1.822930119098526e-15,"{'C': 0.3748231622746186, 'H': 0.07339805825242719, 'O': 0.11095006934812761, 'P': 0.10739944521497921, 'S': 0.3335471567267684}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'f3bdd35d-c901-598b-a038-46762b1bd2e6')",Heptenophos,"('soil',)",kilogram,Heptenophos,C9H12ClO4P,250.61,2.0978135204022775e-15,"{'C': 0.43134352180679136, 'H': 0.0482662303978293, 'Cl': 0.14146682095686525, 'O': 0.25536091935676947, 'P': 0.123594429591796}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '8f9c29a0-1d4c-55f9-9cc1-fea132123ff5')",Cadusafos,"('soil', 'forestry')",kilogram,Cadusafos,C10H23O2PS2,270.4,1.9442790175592264e-15,"{'C': 0.4441937869822485, 'H': 0.08573964497041421, 'O': 0.11833579881656806, 'P': 0.11454881656804734, 'S': 0.23716715976331362}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'a22b3f58-1a35-5409-94e3-f4f20512862e')",Fosetyl-Al,"('soil', 'forestry')",kilogram,Fosetyl-Al,C6H15AlO9P3+3,351.08,9.428415133402684e-15,"{'C': 0.20526945425544038, 'H': 0.04306710721203145, 'Al': 0.07685427822718469, 'O': 0.4101372906460067, 'P': 0.2646747180129885}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '5eb26639-d645-5b9b-b2f4-461fe9c89f49')",Mecarbam,"('water', 'surface water')",kilogram,Mecarbam,C10H20NO5PS2,329.4,1.59603232042506e-15,"{'C': 0.3646326654523376, 'H': 0.061202185792349734, 'N': 0.04252276867030966, 'O': 0.2428506375227687, 'P': 0.09403157255616272, 'S': 0.19468731026108074}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'ac60115c-0817-5acf-93ee-74ca84ee3a04')",Fosetyl,"('air',)",kilogram,Fosetyl,C2H6O3P+,109.04,4.821469610675117e-15,"{'C': 0.22030447542186352, 'H': 0.05546588407923697, 'O': 0.4401779163609684, 'P': 0.2840608950843727}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'c7d666fc-9018-5e44-9c68-8112aee4f20e')",Mancozeb,"('water', 'ground-')",kilogram,Mancozeb,C8H12MnN4S8Zn,541.1,1.9677855459297162e-14,"{'C': 0.1775790057290704, 'H': 0.022354463130659766, 'Mn': 0.10153021622620588, 'N': 0.10354463130659766, 'S': 0.47407133616706704, 'Zn': 0.12082794307891331}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '62d868a5-bddb-5ef3-b623-be2aa6b7f013')",Terbufos,"('soil',)",kilogram,Terbufos,C9H21O2PS3,288.4,1.822930119098526e-15,"{'C': 0.3748231622746186, 'H': 0.07339805825242719, 'O': 0.11095006934812761, 'P': 0.10739944521497921, 'S': 0.3335471567267684}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '5dac201c-72c1-5913-a94c-bdf0f0471120')",Aluminium phosphide,"('soil', 'agricultural')",kilogram,Aluminium phosphide,AlP,57.9553,3.897248210843503e-14,"{'Al': 0.46556570322300117, 'P': 0.534446375051117}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '6bad6b86-b653-500c-a7aa-3e66eda920bd')",Zineb,"('water', 'surface water')",kilogram,Zineb,C4H6N2S4Zn,275.8,2.56887377677525e-14,"{'C': 0.1741986947063089, 'H': 0.021928934010152282, 'N': 0.1015736040609137, 'S': 0.4650471356055112, 'Zn': 0.23705583756345175}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '3822809c-cc03-469d-ac2a-9f85842f8440')",Molybdenum VI,"('water', 'ground-')",kilogram,Molybdenum,Mo,95.95,1.6532043483883647e-13,{'Mo': 1.0},1.0,dissipation
