Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source,Mineral,f_mineral_me,Delta_g_Mineral,Mineral_Fraction,CF_Mineral,xi_Mineral,xf_Mineral,xm_Mineral,ERC,CF2
"Aluminium, 24% in bauxite, 11% in crude ore, in ground","('ecoinvent-3.4-biosphere', '8bc65fca-548d-4831-b102-391bbdd6bc8c')",Al,3.419513314412507e-11,3.419513314412507e-11,0.11,7.064790343896179e-15,7.064790343896179e-15,parsed_crude_ore,Bauxite (Gibbsite),2.8930041152263373,9.892666090666635e-11,0.3182304526748971,2.043846753810294e-14,0.23086450876489972,0.23086450866597305,0.95,6.97161091949931e-09,6.97161091949931e-09
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')",Cu,1.1373832221562843e-11,1.0012803821209198e-11,0.008100000000000001,9.973071000013574e-17,1.1328698565692033e-16,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,2.8829969623136827e-11,0.02332241379310345,2.8715566500039084e-16,0.01286923124177145,0.01286923121294148,0.8086409056778144,1.6786883529354398e-08,1.6786883529354398e-08
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')",Mo,1.1373832221562843e-11,1.3610284003536447e-12,8.2e-05,1.3556275656784592e-17,1.1328698565692033e-16,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,2.272917428590587e-12,0.00013694000000000003,2.2638980346830273e-17,0.0023389070923680233,0.0023389070900951057,0.9176761103880936,1.9611030740898328e-08,1.9611030740898328e-08
"Zinc, Zn 3.1%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'c3b2ba62-b158-47b1-8e1e-e76156e5292a')",Zn,9.488535452122163e-12,9.488535452122163e-12,0.031,3.359338791170547e-15,3.359338791170547e-15,parsed_crude_ore_multi,Sphalerite,1.4901477832512315,1.4139320070280563e-11,0.046194581280788176,5.005911252852662e-15,0.21288117798323605,0.21288117796909672,0.789865871833085,6.263744721615116e-11,6.263744721615116e-11
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')",Mo,7.2679845347725445e-12,4.394353571123793e-12,0.00041,6.778137828392296e-17,1.1210613828398327e-16,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,7.338570463776736e-12,0.0006847000000000001,1.1319490173415135e-16,0.0023389070923680233,0.002338907085029453,0.9176761103880936,6.331933846867485e-08,6.331933846867485e-08
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')",Cu,7.2679845347725445e-12,2.8736309636487522e-12,0.0036,4.432476000006032e-17,1.1210613828398327e-16,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,8.274075360850717e-12,0.01036551724137931,1.276247400001737e-16,0.01286923124177145,0.012869231233497374,0.8086409056778144,4.817772021981599e-09,4.817772021981599e-09
"Nickel, Ni 2.5E+0%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'f09c3144-a268-4bed-8ca2-63005b6ef75f')",Ni,4.03090024984464e-12,4.03090024984464e-12,0.025,2.2666854221206516e-15,2.2666854221206516e-15,parsed_crude_ore_multi,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.1827479196862982e-11,0.07335507246376811,6.650914935689089e-15,0.010558917414268303,0.010558917402440823,0.0803628113054402,9.376976551823203e-10,9.376976551823203e-10
"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')",Mo,2.249029131255053e-12,1.2763416557778271e-13,8.2e-05,1.3556275656784592e-17,2.3887380565709124e-16,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,2.1314905651489719e-13,0.00013694000000000003,2.2638980346830273e-17,0.0023389070923680233,0.0023389070921548743,0.9176761103880936,1.8389899432008145e-09,1.8389899432008145e-09
"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')",Cu,2.249029131255053e-12,2.1213949656772704e-12,0.0183,2.2531753000030665e-16,2.3887380565709124e-16,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,6.108154470139727e-12,0.05269137931034483,6.48759095000883e-16,0.01286923124177145,0.012869231235663296,0.8086409056778144,3.5566186666226275e-09,3.5566186666226275e-09
"Lead, Pb 0.014%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')",Pb,2.103351035148048e-12,2.103351035148048e-12,0.00014000000000000001,1.6597356591276228e-17,1.6597356591276228e-17,parsed_crude_ore_multi,Galena,1.1560975609756097,2.4316790016101824e-12,0.00016185365853658537,1.9188163473816905e-17,0.10515644248728105,0.10515644248484937,0.635111259945265,1.007369621902568e-11,1.007369621902568e-11
