Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')",Mo,2.249029131255053e-12,1.2763416557778271e-13,8.2e-05,1.3556275656784592e-17,2.3887380565709124e-16,parsed_crude_ore_multi
"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')",Cu,2.249029131255053e-12,2.1213949656772704e-12,0.0183,2.2531753000030665e-16,2.3887380565709124e-16,parsed_crude_ore_multi
"Lead, Pb 0.014%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')",Pb,2.103351035148048e-12,2.103351035148048e-12,0.00014000000000000001,1.6597356591276228e-17,1.6597356591276228e-17,parsed_crude_ore_multi
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","('ecoinvent-3.4-biosphere', '719def62-0941-4264-bc54-97093d847d7a')",Mo,1.5124513531024595e-12,3.329806819630647e-13,8.2e-05,1.3556275656784592e-17,6.157476565684994e-17,parsed_crude_ore_multi
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","('ecoinvent-3.4-biosphere', '719def62-0941-4264-bc54-97093d847d7a')",Cu,1.5124513531024595e-12,1.1794706711393948e-12,0.0039000000000000003,4.801849000006535e-17,6.157476565684994e-17,parsed_crude_ore_multi
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ac8571b8-b00b-479d-93cf-b9374feaee05')",Mo,1.2827847660129882e-12,3.7157780442077536e-13,8.2e-05,1.3556275656784592e-17,4.6799845656829836e-17,parsed_crude_ore_multi
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ac8571b8-b00b-479d-93cf-b9374feaee05')",Cu,1.2827847660129882e-12,9.112069615922129e-13,0.0027,3.3243570000045246e-17,4.6799845656829836e-17,parsed_crude_ore_multi
"Cobalt, in ground","('ecoinvent-3.4-biosphere', 'd0779a5e-6969-4144-954e-ceb81fb83f15')",Co,9.814239063942383e-13,9.814239063942383e-13,0.0019,3.695024078206249e-15,3.695024078206249e-15,valero_fallback
"Perlite, in ground","('ecoinvent-3.4-biosphere', '09a68c14-01f6-4dee-ba29-8b7f400b72b5')",Al,9.656850787771315e-13,9.656850787771315e-13,0.06875562728276566,4.415855379234614e-15,4.415855379234614e-15,stoichiometric
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')",Mo,8.925011764349138e-13,2.0903205746847112e-13,8.2e-05,1.3556275656784592e-17,5.788103565684491e-17,parsed_crude_ore_multi
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')",Cu,8.925011764349138e-13,6.834691189664426e-13,0.0036,4.432476000006032e-17,5.788103565684491e-17,parsed_crude_ore_multi
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'a76cf135-2be1-4e53-9423-9211acd100f1')",Mo,8.676171354882587e-13,2.8938501175861326e-13,8.2e-05,1.3556275656784592e-17,4.064362899015479e-17,parsed_crude_ore_multi
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'a76cf135-2be1-4e53-9423-9211acd100f1')",Cu,8.676171354882587e-13,5.782321237296453e-13,0.0022,2.70873533333702e-17,4.064362899015479e-17,parsed_crude_ore_multi
"Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', 'febbfa6e-44d4-42a0-abcd-aec8a428f75e')",Ni,7.931406892999835e-13,6.660285286698072e-13,0.00037,3.354694424738564e-17,3.9949409580727685e-17,parsed_crude_ore_multi
