Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
Antimony ion,"('ecoinvent-3.12-biosphere', '183f9856-03ab-464d-9366-8ef62077b510')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', 'b2dc8668-86de-4207-b20e-dc81dea63c98')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', '3ea5684a-6d64-4f96-8c09-1d90f997c9d4')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', '5df5cb9f-812c-4ce8-ab1c-df6ab4d31900')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', '2b2369a4-26bb-4b18-8479-752fdf7a5e7f')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', 'c49fb4cd-eed0-4438-9052-9612473cdbae')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', '77927dac-dea3-429d-a434-d5a71d92c4f7')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', '83cf77ca-867b-4eef-b0f0-78d71b3d91d5')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', 'fa39136e-1ef6-43c1-af68-104da104568d')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony ion,"('ecoinvent-3.12-biosphere', 'f4cf8d5c-f030-4b55-a3af-e3c20b855ee8')",Sb,1.9060877506786598e-10,1.9060877506786598e-10,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', 'c2e854f9-fe22-4fe7-9083-cf6d0a8c7254')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '81b3321a-c9d8-4104-a974-5460f1bc5029')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '8ec83662-7c2b-4452-8acf-95a0bb94233c')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '7a59e8d5-cd11-4ee7-b1ca-30979d2b0b3a')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '01285299-c683-4e15-b654-201987a7a738')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '58060894-19d9-4855-84d8-58935a5325f8')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '68ba2022-830e-45fb-8c85-b35e94754ae9')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '9bbae55a-35de-4eff-a219-814a9fec5ac2')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', 'ef475b50-9cd0-4e7c-9c59-07868fe16e91')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '81e17d9a-3e0b-414e-9b2e-eca7e5b3bd4a')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '8216fc31-15a1-4d33-858f-e09650b14c63')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', 'a9ec0c9b-982a-4329-99ae-dab1f9fb62d3')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.12-biosphere', '03b279a7-4626-4703-a451-d0650599dbd9')",Cr,1.7519797321800773e-10,1.7519797321800773e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '9ee7f4ab-b826-47ae-8623-e138f944b42e')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '0ff15165-d761-48c9-9814-2d1dcdd56857')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '31c4d160-b21e-41b3-b9c1-3d7a72377653')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '8e123669-94d3-41d8-9480-a79211fe7c43')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', 'b3ebdcc3-c588-4997-95d2-9785b26b34e1')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', 'fe4613d7-1ed8-427d-9b06-c8e8f4f5e1b1')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '4010918f-7fd0-4925-8fbb-8fd7a44a806c')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '2718482b-8399-442e-b89a-52fbcc22d2e6')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', 'e9e856c2-868e-435e-8425-8df1c9297cfc')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', 'c864aa15-0abc-41ad-9889-348106e485d8')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '739234c8-5359-48b4-983f-9cb170d68c8d')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '67652827-017f-4856-8d0a-c97bac4c6562')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '837083ce-41cd-49f3-a849-d79564dac238')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Lead II,"('ecoinvent-3.12-biosphere', '6a903634-c97f-4c49-a7c0-88f0e6ac7a23')",Pb,1.7489656069720897e-10,1.7489656069720897e-10,1.0,1.1855254708054448e-13,1.1855254708054448e-13,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', 'b0546417-3064-4878-bd6f-2da75cefdf63')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '295060ba-3c3d-45e4-99ca-e17b1204b553')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '835d0907-a668-4d92-b6b6-7b56fa343713')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '2460f868-54a9-404c-bec8-c809a44ae72c')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '9c706cff-cb82-4207-a589-95896e04dc08')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '10cbd2f7-c41b-4bb4-b636-d8fc15cf0282')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '6b7fbea6-4a86-40f9-954d-3c9b3611abfd')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '009a49e8-09a7-4432-9cb9-f2dd18e8f922')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '44f28e11-061d-44fd-8f25-dc62a9f1fa57')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '9ba8c05d-1593-45a5-8d3b-5c4f3e9fef32')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', 'c91fd4bf-ed70-4e2f-a34f-159773f981b6')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', 'f532985c-90b7-46fc-aac9-b039b40e22f1')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '0af26a55-d357-469f-abad-8ced785cb4fb')",Mn,1.6615612185390672e-10,1.6615612185390672e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'a5506f4b-113f-4713-95c3-c819dde6e48b')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'e8fc62ba-678e-4706-97d2-b79d83e227d5')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'e43a270f-4f88-4789-a0b8-7aba56677743')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '0545c382-2312-43b6-9ec3-63dbb1438565')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '9798359e-a3ee-4362-a038-23a188582c6e')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '56815b4f-6138-4e0b-9fac-c94fd6b102b3')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'c89873de-cd23-4323-a948-f5cfeebd2fc9')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '6ec6cdaa-5a01-46d4-b716-1905e56690ea')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '23cb10a4-6228-4ce4-9fb5-7043bc31faec')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '2bcad3b3-5305-481c-a166-ad5e6eac2675')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '5de1943f-b011-45a0-97d4-ed15eea6a382')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '9f69cb8e-51fe-447b-a1ac-4da74de8ebe4')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'b4580545-243d-48d2-a3a0-2633a4f46fb1')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'a72a45ee-395a-4d25-b893-9d183e43e76e')",Ni,1.3102018007365858e-10,1.3102018007365858e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'a5506f4b-113f-4713-95c3-c819dde6e48b')",Ni,1.2663420439962706e-10,1.2663420439962706e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'e8fc62ba-678e-4706-97d2-b79d83e227d5')",Ni,1.2663420439962706e-10,1.2663420439962706e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', 'e43a270f-4f88-4789-a0b8-7aba56677743')",Ni,1.2663420439962706e-10,1.2663420439962706e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '0545c382-2312-43b6-9ec3-63dbb1438565')",Ni,1.2663420439962706e-10,1.2663420439962706e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '9798359e-a3ee-4362-a038-23a188582c6e')",Ni,1.2663420439962706e-10,1.2663420439962706e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
Nickel II,"('ecoinvent-3.12-biosphere', '56815b4f-6138-4e0b-9fac-c94fd6b102b3')",Ni,1.2663420439962706e-10,1.2663420439962706e-10,1.0,9.066741688482605e-14,9.066741688482605e-14,dissipation
