Flow Key,Flow Name,Cleaned Name,Molecular Formula,Molecular Weight,CF1,composition,grade_source
"('ecoinvent-3.4-biosphere', '9a7380d1-6e23-48ad-b35a-14bd1ecb3133')","Phosphorus, 18% in apatite, 4% in crude ore, in ground",Phosphorus,P,30.973762,6.789346501556335e-16,{'P': 0.04},parsed_crude_ore
"('ecoinvent-3.4-biosphere', '7cd1d217-70a7-4452-abc4-3b1100763d6d')","Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground",multi_element_ore,multi,,7.222901903772732e-20,"{'Au': 1.2999999999999998e-06, 'Ag': 4.6e-07}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')","Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",multi_element_ore,multi,,6.157476565684994e-17,"{'Cu': 0.0039000000000000003, 'Mo': 8.2e-05}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '719def62-0941-4264-bc54-97093d847d7a')","Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground",multi_element_ore,multi,,6.157476565684994e-17,"{'Mo': 8.2e-05, 'Cu': 0.0039000000000000003}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'e47e4e5f-6528-413d-a8fb-1cd1875fbd73')","Nickel, 1.98% in silicates, 1.04% in crude ore, in ground",Nickel,Ni,58.693,9.429411356021909e-16,{'Ni': 0.0104},parsed_crude_ore
"('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')","Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground",multi_element_ore,multi,,2.479348455018202e-15,"{'Pt': 2.5e-06, 'Pd': 7.2999999999999996e-06, 'Rh': 2.0000000000000002e-07, 'Ni': 0.023, 'Cu': 0.032}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '781dda0c-ffeb-4664-9667-7506ce6269b9')","Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore, in ground",multi_element_ore,multi,,1.1933490101885384e-19,"{'Ag': 7.6e-07, 'Au': 9.7e-07}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')","Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",multi_element_ore,multi,,2.479348455018202e-15,"{'Cu': 0.032, 'Pt': 2.5e-06, 'Pd': 7.2999999999999996e-06, 'Rh': 2.0000000000000002e-07, 'Ni': 0.023}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'c7d38707-3b22-4fb1-b001-0c8cad496a60')","Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore, in ground",multi_element_ore,multi,,1.1933490101885384e-19,"{'Au': 9.7e-07, 'Ag': 7.6e-07}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')","Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",multi_element_ore,multi,,5.788103565684491e-17,"{'Cu': 0.0036, 'Mo': 8.2e-05}",parsed_crude_ore_multi
