flow,amount,categories,unit
"Titanium, ion",99482.22315366603,"('water', 'surface water')",kilogram
m-Xylene,93619.9998126581,"('air', 'urban air close to ground')",kilogram
"Tin, ion",92297.98084177356,"('water', 'surface water')",kilogram
Butene,91229.87587159175,"('air', 'urban air close to ground')",kilogram
Manganese,89354.5888724917,"('soil', 'industrial')",kilogram
Strontium,85378.0269247774,"('water', 'ocean')",kilogram
"Benzene, ethyl-",84971.09004456617,"('water', 'surface water')",kilogram
Nickel,83341.12562131142,"('soil', 'agricultural')",kilogram
Barium,77266.04044610099,"('air',)",kilogram
Tin,76631.95527048122,"('air', 'low population density, long-term')",kilogram
Toluene,75546.24467068737,"('water', 'ocean')",kilogram
Lead,73694.78455170254,"('air',)",kilogram
"Arsenic, ion",72567.68343795107,"('water',)",kilogram
Silicon,70301.57236751985,"('air', 'urban air close to ground')",kilogram
Thallium,70045.90823837927,"('water',)",kilogram
Copper,67586.79817120278,"('soil',)",kilogram
Hydrogen carbonate,66391.31011222141,"('water', 'ocean')",kilogram
Aluminium,61236.365386491256,"('soil',)",kilogram
Acetone,60281.571056100205,"('air', 'non-urban air or from high stacks')",kilogram
"Vanadium, ion",59590.448332500324,"('water', 'ocean')",kilogram
Mercury,59483.728666850424,"('water', 'ocean')",kilogram
Ethylene,59481.218195509624,"('air',)",kilogram
Phenol,58343.31900595669,"('water', 'ocean')",kilogram
"Carbon dioxide, to soil or biomass stock",57445.14880273604,"('soil',)",kilogram
Zinc,56626.6727049681,"('soil',)",kilogram
Potassium,56486.36742451722,"('air',)",kilogram
Potassium,56238.12523927903,"('water', 'ground-')",kilogram
Potassium,56238.12523927903,"('soil',)",kilogram
Zinc,56174.68559726571,"('soil', 'industrial')",kilogram
Vanadium,55807.26277449456,"('air',)",kilogram
"Methane, dichloro-, HCC-30",51679.031549192696,"('water', 'surface water')",kilogram
Barium,49825.322063898486,"('water', 'ground-')",kilogram
Sodium,46364.313423969325,"('soil',)",kilogram
Formaldehyde,44641.22374244252,"('air',)",kilogram
Ethyne,43986.99976971054,"('air', 'urban air close to ground')",kilogram
"VOC, volatile organic compounds, unspecified origin",43941.76721532165,"('water', 'ocean')",kilogram
"Silver, ion",42801.60005649602,"('water', 'ocean')",kilogram
Cobalt,42011.227433131324,"('soil',)",kilogram
Nickel,38569.36111357922,"('air',)",kilogram
Cobalt,37342.84665426486,"('water', 'ocean')",kilogram
Antimony,36878.0603273417,"('air', 'low population density, long-term')",kilogram
Benzene,36287.82175861826,"('water', 'ocean')",kilogram
Beryllium,34963.87417856465,"('water', 'ground-')",kilogram
"Zinc, ion",33184.48013357831,"('water',)",kilogram
Cobalt,33133.90248858719,"('soil', 'industrial')",kilogram
Cobalt,32573.02993514602,"('air',)",kilogram
Propionic acid,32328.87010124517,"('air', 'non-urban air or from high stacks')",kilogram
"Tin, ion",31750.988183359972,"('water',)",kilogram
"PAH, polycyclic aromatic hydrocarbons",31695.48199731858,"('air', 'non-urban air or from high stacks')",kilogram
Potassium,30759.991864918913,"('air', 'non-urban air or from high stacks')",kilogram
