Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total
"Nickel, ion","('ecoinvent-3.4-biosphere', '9f69cb8e-51fe-447b-a1ac-4da74de8ebe4')",Ni,2.4978632336411486e-07,2.4978632336411486e-07,1.0,9.066741688482605e-14,9.066741688482605e-14
"Nickel, ion","('ecoinvent-3.4-biosphere', '6ec6cdaa-5a01-46d4-b716-1905e56690ea')",Ni,2.4978632336411486e-07,2.4978632336411486e-07,1.0,9.066741688482605e-14,9.066741688482605e-14
"Nickel, ion","('ecoinvent-3.4-biosphere', 'e030108f-2125-4bcb-a73b-ad72130fcca3')",Ni,2.4978632336411486e-07,2.4978632336411486e-07,1.0,9.066741688482605e-14,9.066741688482605e-14
Aluminium,"('ecoinvent-3.4-biosphere', '7880e65c-0321-4295-ba55-3186ad36e489')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '46e63323-cffd-4c46-829b-5f006b50fa9b')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '39555a26-d28b-425f-993f-e8770ab7d9cf')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '765546a9-b056-4d27-ad14-2f016511bdcb')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', 'ff65658c-2d39-44a2-b23e-7ec3c644f064')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '2baa4381-b781-4f5e-90de-508b0fa3fd1f')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', 'e0401210-0377-4670-84af-12247ca20bed')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '6f0b8b7c-3888-4174-b7e3-916d42d678ee')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '0ace7678-a181-48e8-8728-d912a8b56c57')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '9c3bd678-1b2f-4b95-a245-d5c8a3fe326b')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '97e498ec-f323-4ec6-bcc0-d8a4c853bae3')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '2e0c9efa-d55c-49db-8be3-0376d5921ff4')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', 'd96403bf-902e-4b7a-8ffd-32fe09e4017f')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '01056d4b-f9b0-4dfc-b8d9-8407c8376efb')",Al,1.902315530750423e-07,1.902315530750423e-07,1.0,6.422536676269254e-14,6.422536676269254e-14
Antimony,"('ecoinvent-3.4-biosphere', '2b2369a4-26bb-4b18-8479-752fdf7a5e7f')",Sb,1.6011907762654754e-07,1.6011907762654754e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '3ea5684a-6d64-4f96-8c09-1d90f997c9d4')",Sb,1.6011907762654754e-07,1.6011907762654754e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '183f9856-03ab-464d-9366-8ef62077b510')",Sb,1.6011907762654754e-07,1.6011907762654754e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '5df5cb9f-812c-4ce8-ab1c-df6ab4d31900')",Sb,1.6011907762654754e-07,1.6011907762654754e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '7805afa2-d93b-40bb-b841-325b98aec824')",Sb,1.6011907762654754e-07,1.6011907762654754e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', 'c49fb4cd-eed0-4438-9052-9612473cdbae')",Sb,1.6011907762654754e-07,1.6011907762654754e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', 'fa39136e-1ef6-43c1-af68-104da104568d')",Sb,1.6011907762654754e-07,1.6011907762654754e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
