flow,amount,categories,unit
"Methane, non-fossil",195358.44171586988,"('air', 'urban air close to ground')",kilogram
Thallium,192248.11729589337,"('air',)",kilogram
Cadmium,192049.54816329817,"('air',)",kilogram
Copper,190316.03924336773,"('soil',)",kilogram
Ethyne,184154.84359578084,"('air', 'urban air close to ground')",kilogram
Toluene,179327.61684968433,"('water', 'surface water')",kilogram
"Tin, ion",177484.07152343728,"('water',)",kilogram
Vanadium,169999.90457982538,"('air',)",kilogram
Molybdenum,169858.773318856,"('air', 'low population density, long-term')",kilogram
Cobalt,159609.90409602117,"('soil', 'agricultural')",kilogram
Cobalt,157557.95863005356,"('soil',)",kilogram
Aluminium,150149.71566683584,"('air', 'non-urban air or from high stacks')",kilogram
Beryllium,148056.9338580857,"('air', 'non-urban air or from high stacks')",kilogram
Lead,147463.98527079754,"('air',)",kilogram
Barium,147173.6322829357,"('water', 'ocean')",kilogram
Acetic acid,145977.32358145632,"('air', 'non-urban air or from high stacks')",kilogram
Calcium,145818.4571192033,"('air', 'urban air close to ground')",kilogram
Carbonate,145554.71405578923,"('water', 'surface water')",kilogram
Scandium,133879.24059563852,"('air', 'low population density, long-term')",kilogram
Sodium,127423.09353757446,"('soil',)",kilogram
Acetic acid,126631.4041908171,"('air', 'urban air close to ground')",kilogram
Benzene,124638.04369641039,"('water', 'surface water')",kilogram
Benzene,121840.55162016218,"('water',)",kilogram
Formaldehyde,121733.05582079428,"('air', 'urban air close to ground')",kilogram
"Methane, dichloro-, HCC-30",120677.60498869926,"('air', 'non-urban air or from high stacks')",kilogram
Formaldehyde,120021.33455259864,"('air',)",kilogram
Silver,118607.11145956743,"('air', 'low population density, long-term')",kilogram
Phenol,110539.80150376334,"('water', 'surface water')",kilogram
Toluene,109586.8537936139,"('water',)",kilogram
"Vanadium, ion",109078.07417413546,"('water',)",kilogram
Sodium,107337.15645407981,"('air', 'low population density, long-term')",kilogram
Calcium,104840.94681058261,"('air', 'low population density, long-term')",kilogram
Acrolein,104477.97009438755,"('air', 'non-urban air or from high stacks')",kilogram
Acetone,104382.12858294725,"('air', 'non-urban air or from high stacks')",kilogram
"DOC, Dissolved Organic Carbon",99523.76972514656,"('water', 'ground-')",kilogram
Barium,97559.92194227602,"('air', 'urban air close to ground')",kilogram
Lead,95251.19519028006,"('air', 'urban air close to ground')",kilogram
Lead,90404.66976818406,"('water', 'surface water')",kilogram
Strontium,90045.20139177666,"('water', 'ocean')",kilogram
Cadmium,86633.27532484189,"('air', 'low population density, long-term')",kilogram
Methanol,86429.8404263459,"('air', 'urban air close to ground')",kilogram
Cobalt,83867.51303643953,"('air',)",kilogram
"Zinc, ion",83223.00302641043,"('water',)",kilogram
Ethanol,79357.35380723303,"('air', 'urban air close to ground')",kilogram
Acetaldehyde,79304.1643898973,"('air',)",kilogram
Molybdenum,79020.12740711658,"('water',)",kilogram
Cadmium,74662.06456209408,"('soil', 'agricultural')",kilogram
Nickel,72663.88093019175,"('air',)",kilogram
Manganese,68176.59208278544,"('water',)",kilogram
Silicon,66635.9410336896,"('soil', 'agricultural')",kilogram
Titanium,66498.4848426186,"('air', 'urban air close to ground')",kilogram
Titanium,63168.8680033752,"('air', 'low population density, long-term')",kilogram
Lead,62738.35483475416,"('water',)",kilogram
"Cadmium, ion",62696.758490098095,"('water', 'ocean')",kilogram
"Carbon dioxide, to soil or biomass stock",58544.69358168236,"('soil',)",kilogram
Zinc,56970.89523867443,"('air', 'urban air close to ground')",kilogram
Acetone,50944.84911740443,"('air', 'urban air close to ground')",kilogram
"Benzene, ethyl-",48378.80391945906,"('air', 'non-urban air or from high stacks')",kilogram
"Benzene, ethyl-",48034.60847426608,"('air', 'urban air close to ground')",kilogram
Copper,45594.160440625055,"('soil', 'agricultural')",kilogram
Manganese,44247.85495663801,"('soil', 'industrial')",kilogram
Uranium,44167.11168126242,"('air', 'urban air close to ground')",kilogram
Potassium,43922.44115684074,"('air', 'non-urban air or from high stacks')",kilogram
Acetaldehyde,43460.620481956714,"('air', 'urban air close to ground')",kilogram
Butene,41519.235100324644,"('air', 'urban air close to ground')",kilogram
Beryllium,40338.89432326147,"('water', 'surface water')",kilogram
Chromium VI,39061.53400693909,"('water', 'ground-')",kilogram
"Tin, ion",38677.78149018014,"('water', 'ground-')",kilogram
Manganese,38670.74284088112,"('air', 'low population density, long-term')",kilogram
"Benzene, ethyl-",38186.07964203955,"('water', 'surface water')",kilogram
"Tin, ion",37935.85308398718,"('water', 'surface water')",kilogram
"Methane, from soil or biomass stock",37491.05787675102,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,35794.93321586621,"('soil', 'agricultural')",kilogram
Lead,35640.04693433963,"('air', 'low population density, long-term')",kilogram
Iron,34860.066472832,"('water', 'ground-')",kilogram
Mercury,34598.19720584917,"('water', 'ocean')",kilogram
Ethylene,34050.31636359778,"('air',)",kilogram
"Methane, tetrafluoro-, R-14",32999.48784683895,"('air',)",kilogram
Nickel,32957.05813928885,"('air', 'low population density, long-term')",kilogram
Vanadium,32741.251101869497,"('soil', 'agricultural')",kilogram
Toluene,32654.715395182542,"('water', 'ocean')",kilogram
Cyanide,31549.463275247876,"('water', 'surface water')",kilogram
Cadmium,31453.229938892433,"('soil',)",kilogram
"PAH, polycyclic aromatic hydrocarbons",31114.09807529144,"('air',)",kilogram
Glyphosate,31100.04470548786,"('soil', 'industrial')",kilogram
Sodium,30132.666546743458,"('air',)",kilogram
"Titanium, ion",29435.13396785851,"('water', 'ground-')",kilogram
Propene,29414.87662372388,"('water', 'surface water')",kilogram
Benzo(a)pyrene,28000.95632170159,"('air', 'non-urban air or from high stacks')",kilogram
Chromium VI,27438.44200508125,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,27275.719228792565,"('soil', 'industrial')",kilogram
Phenol,26161.499570246797,"('water',)",kilogram
Ethene,25643.765172518622,"('air', 'non-urban air or from high stacks')",kilogram
Phenol,25364.4998037445,"('water', 'ocean')",kilogram
"Methane, dichloro-, HCC-30",24906.244313268653,"('water', 'surface water')",kilogram
Acrolein,24447.20088037607,"('air',)",kilogram
"Benzene, ethyl-",24354.26914838552,"('air',)",kilogram
Silicon,23934.27655240423,"('air', 'low population density, long-term')",kilogram
Furan,23724.87194222864,"('air', 'non-urban air or from high stacks')",kilogram
Barium,23658.224147880945,"('air', 'low population density, long-term')",kilogram
"Vanadium, ion",23422.85526004822,"('water', 'ocean')",kilogram
Benzaldehyde,23264.66566966933,"('air',)",kilogram
Propionic acid,22337.912424348495,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,20684.37892568703,"('air', 'urban air close to ground')",kilogram
"Ethene, tetrachloro-",20446.302625409888,"('air', 'non-urban air or from high stacks')",kilogram
Antimony,20202.730001346677,"('water',)",kilogram
"VOC, volatile organic compounds, unspecified origin",19837.225693002718,"('water', 'ocean')",kilogram
"Silver, ion",19322.504627139864,"('water', 'ocean')",kilogram
Manganese,19037.526950719795,"('air',)",kilogram
m-Xylene,19019.451002819238,"('air',)",kilogram
Methyl ethyl ketone,18790.951346443013,"('air', 'urban air close to ground')",kilogram
Antimony,17827.78444547659,"('air', 'urban air close to ground')",kilogram
"Ethane, 1,2-dichloro-",17725.855184953103,"('air', 'non-urban air or from high stacks')",kilogram
Methanol,17383.559802552787,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,17253.235624782777,"('air', 'low population density, long-term')",kilogram
Benzene,16305.16761483311,"('water', 'ocean')",kilogram
"Copper, ion",15987.168667267792,"('water', 'ocean')",kilogram
Strontium,15846.601955374605,"('air', 'urban air close to ground')",kilogram
Cumene,15782.438007890594,"('water', 'surface water')",kilogram
Ethyl acetate,15378.554902608583,"('air', 'urban air close to ground')",kilogram
"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",15290.511523902194,"('air', 'non-urban air or from high stacks')",kilogram
Lead,14881.613755153297,"('water', 'ground-')",kilogram
Silicon,14050.541115215206,"('air',)",kilogram
Acetaldehyde,13998.82788964832,"('air', 'non-urban air or from high stacks')",kilogram
"AOX, Adsorbable Organic Halogen as Cl",13963.674043614346,"('water', 'surface water')",kilogram
"Titanium, ion",13949.156559018347,"('water',)",kilogram
Styrene,12845.300763679761,"('air', 'non-urban air or from high stacks')",kilogram
Thallium,12682.002067467605,"('air', 'non-urban air or from high stacks')",kilogram
Isocyanic acid,12447.091611999867,"('air', 'urban air close to ground')",kilogram
Sodium,12405.913949031677,"('water', 'ground-')",kilogram
"Chromium, ion",12326.78337579489,"('water',)",kilogram
Platinum,12151.228063619645,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,11707.698274250275,"('soil', 'industrial')",kilogram
Styrene,11076.069085337307,"('air',)",kilogram
Arsenic,11061.963990676702,"('soil', 'industrial')",kilogram
"Arsenic, ion",10951.404619379897,"('water', 'ocean')",kilogram
Phenol,10793.044479538938,"('air', 'non-urban air or from high stacks')",kilogram
"Methane, chlorodifluoro-, HCFC-22",10619.576564312816,"('air', 'non-urban air or from high stacks')",kilogram
"Iron, ion",10075.07077176798,"('water', 'ocean')",kilogram
"Phenol, pentachloro-",9904.585368596185,"('air', 'non-urban air or from high stacks')",kilogram
Titanium,9712.117793175306,"('soil', 'agricultural')",kilogram
Benzaldehyde,9620.647626787762,"('air', 'non-urban air or from high stacks')",kilogram
Beryllium,9605.340844352588,"('water',)",kilogram
Tin,9545.45925593178,"('air', 'low population density, long-term')",kilogram
Lead,9451.054000525113,"('water', 'ocean')",kilogram
Arsenic,9183.121171802799,"('air',)",kilogram
Acetic acid,9155.141464010285,"('air',)",kilogram
Mercury,8998.643193570406,"('soil', 'agricultural')",kilogram
"Ethane, 1,1,1-trichloro-, HCFC-140",8889.834656370034,"('air', 'non-urban air or from high stacks')",kilogram
Scandium,8539.258458466806,"('air', 'urban air close to ground')",kilogram
Nickel,8516.56087571826,"('soil', 'agricultural')",kilogram
m-Xylene,8351.090050205807,"('air', 'urban air close to ground')",kilogram
Iron,8193.887955216189,"('air', 'non-urban air or from high stacks')",kilogram
o-Xylene,7760.0545382707705,"('air',)",kilogram
Titanium,7714.166497942653,"('air',)",kilogram
Ethene,7677.026083372297,"('water', 'surface water')",kilogram
Cumene,7657.6376016587365,"('water',)",kilogram
Lead,7392.004616718272,"('soil',)",kilogram
"PAH, polycyclic aromatic hydrocarbons",7063.473141568175,"('water', 'surface water')",kilogram
Silicon,6913.727840011798,"('soil', 'industrial')",kilogram
"Benzene, ethyl-",6586.417949452492,"('water',)",kilogram
Cumene,6567.8466895543415,"('air', 'urban air close to ground')",kilogram
Molybdenum,6473.588173825712,"('water', 'ocean')",kilogram
Beryllium,6394.988554013655,"('air', 'urban air close to ground')",kilogram
Sodium,5757.248604599125,"('air', 'non-urban air or from high stacks')",kilogram
Nickel,5674.59362402325,"('soil',)",kilogram
Mancozeb,5575.337911730939,"('soil', 'agricultural')",kilogram
Calcium,5567.814653508096,"('air',)",kilogram
Chloroform,5483.149097081234,"('air', 'non-urban air or from high stacks')",kilogram
Monoethanolamine,5414.0908501239055,"('air', 'urban air close to ground')",kilogram
Heptane,5395.4494008691045,"('air',)",kilogram
Barium,5386.185591664472,"('soil',)",kilogram
Tin,5384.070587550205,"('air', 'urban air close to ground')",kilogram
Manganese,5127.947938269978,"('water', 'ocean')",kilogram
Ethanol,5082.721505139975,"('air', 'non-urban air or from high stacks')",kilogram
Carbonyl sulfide,5003.260771173573,"('air',)",kilogram
Cyanide,4995.935779474821,"('water',)",kilogram
Cobalt,4883.132154206134,"('water', 'ocean')",kilogram
Antimony,4593.619216029677,"('air', 'low population density, long-term')",kilogram
Methanol,4492.388575627094,"('air',)",kilogram
Carbonate,4362.801093025843,"('water', 'ocean')",kilogram
2-Propanol,3884.5988746808775,"('air',)",kilogram
Titanium,3852.2891106106913,"('soil',)",kilogram
Chlorothalonil,3785.031518872645,"('soil', 'agricultural')",kilogram
2-Propanol,3640.876511042718,"('air', 'urban air close to ground')",kilogram
Chromium VI,3638.4159776843694,"('soil',)",kilogram
