Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
"Lithium, ion","('ecoinvent-3.4-biosphere', 'c44b0e3b-e65e-4276-aa1f-3db768757b66')",Li,6.181468117356555e-07,6.181468117356555e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13,dissipation
"Lithium, ion","('ecoinvent-3.4-biosphere', 'eb2bfdf1-1881-40e8-bebb-d674b2a79149')",Li,6.181468117356555e-07,6.181468117356555e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13,dissipation
"Lithium, ion","('ecoinvent-3.4-biosphere', '09cf7c11-0269-4fc1-a5f3-47121a7882d3')",Li,6.181468117356555e-07,6.181468117356555e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13,dissipation
"Lithium, ion","('ecoinvent-3.4-biosphere', 'e98084d6-88a2-48cf-9ad5-6462fe9cf857')",Li,6.181468117356555e-07,6.181468117356555e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13,dissipation
"Lithium, ion","('ecoinvent-3.4-biosphere', 'cf88e72e-13bc-416c-ac41-7d4b24bda86a')",Li,6.181468117356555e-07,6.181468117356555e-07,1.0,1.5184934529957733e-13,1.5184934529957733e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', '7a59e8d5-cd11-4ee7-b1ca-30979d2b0b3a')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', '68ba2022-830e-45fb-8c85-b35e94754ae9')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', '58060894-19d9-4855-84d8-58935a5325f8')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', '81e17d9a-3e0b-414e-9b2e-eca7e5b3bd4a')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', '81b3321a-c9d8-4104-a974-5460f1bc5029')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', 'abbd3b09-a7ec-435a-9d01-34cf8581739e')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', '03b279a7-4626-4703-a451-d0650599dbd9')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', 'a9ec0c9b-982a-4329-99ae-dab1f9fb62d3')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', '8ec83662-7c2b-4452-8acf-95a0bb94233c')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', '9bbae55a-35de-4eff-a219-814a9fec5ac2')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', 'c2e854f9-fe22-4fe7-9083-cf6d0a8c7254')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium VI,"('ecoinvent-3.4-biosphere', 'ef475b50-9cd0-4e7c-9c59-07868fe16e91')",Cr,6.014159329658027e-07,6.014159329658027e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
