flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', '974213ef-1ba0-40e5-bc7b-52ef099e9e09')",Nickel,"('natural resource', 'in ground')",kilogram,Nickel,Ni,58.693,"[['Ni', 1]]",{'Ni': 1.0},0.015,valero_fallback
"('ecoinvent-3.12-biosphere', 'f55e2203-ef91-50bf-8f5a-119bb210522c')",Gadolinium,"('natural resource', 'in ground')",kilogram,Gadolinium,Gd,157.25,"[['Gd', 1]]",{'Gd': 1.0},1.95e-06,valero_fallback
"('ecoinvent-3.12-biosphere', '238f8ea9-98df-41dc-ab93-ea5b549a0b96')",Gravel,"('natural resource', 'in ground')",kilogram,Gravel,C15H21NO,231.33,"[['C', 15], ['H', 21], ['N', 1], ['O', 1]]","{'C': 0.7788224614187523, 'H': 0.09150564129166125, 'N': 0.06054986383089093, 'O': 0.06916093891842821}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'e5a3dff5-72dc-5287-893c-597dd4a19566')",Molybdenum,"('natural resource', 'in ground')",kilogram,Molybdenum,Mo,95.95,"[['Mo', 1]]",{'Mo': 1.0},0.0003,valero_fallback
"('ecoinvent-3.12-biosphere', '36a3d172-7373-507f-85bd-12b8ba31a6d4')",Iodine,"('natural resource', 'in water')",kilogram,Iodine,I2,253.8089,"[['I', 2]]",{'I': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'bea19217-6a28-4711-8142-2e71090c0b46')",Vermiculite,"('natural resource', 'in ground')",kilogram,Vermiculite,AlFeH3MgO6Si-3,234.24,"[['Al', 1], ['Fe', 1], ['H', 3], ['Mg', 1], ['O', 6], ['Si', 1]]","{'Al': 0.11518954918032787, 'Fe': 0.2384093237704918, 'H': 0.01290983606557377, 'Mg': 0.10376109972677595, 'O': 0.4098104508196721, 'Si': 0.11990266393442622}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'db0c855c-e9ef-58d9-97cc-960e646fc882')",Neodymium,"('natural resource', 'in ground')",kilogram,Neodymium,Nd,144.24,"[['Nd', 1]]",{'Nd': 1.0},4.75e-05,valero_fallback
"('ecoinvent-3.12-biosphere', 'd080e6a4-42c6-484e-b5d7-d74693aec7d9')",Gold,"('natural resource', 'in ground')",kilogram,Gold,Au,196.96657,"[['Au', 1]]",{'Au': 1.0},2.24e-06,valero_fallback
"('ecoinvent-3.12-biosphere', 'd16c8806-7701-4fbb-b68d-9b2d5d083d7a')",Carnallite,"('natural resource', 'in water')",kilogram,Carnallite,Cl3H12KMgO6,277.85,"[['Cl', 3], ['H', 12], ['K', 1], ['Mg', 1], ['O', 6]]","{'Cl': 0.38279287385279825, 'H': 0.0435342810869174, 'K': 0.14071621378441604, 'Mg': 0.08747525643332733, 'O': 0.34548857297102753}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '3048af84-1d72-5e3f-a739-b2d7fa7d4773')",Fluorine,"('natural resource', 'in ground')",kilogram,Fluorine,F2,37.99680632,"[['F', 2]]",{'F': 1.0},0.25,valero_fallback
"('ecoinvent-3.12-biosphere', '3e0034cd-21d6-4582-9fbf-09c26edd05df')",Stibnite,"('natural resource', 'in ground')",kilogram,Stibnite,S3Sb2,339.7,"[['S', 3], ['Sb', 2]]","{'S': 0.28317633205769793, 'Sb': 0.7168678245510746}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'cf791833-26bc-5207-a9bd-6ddcd8ac7625')",Samarium,"('natural resource', 'in ground')",kilogram,Samarium,Sm,150.4,"[['Sm', 1]]",{'Sm': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'b6381644-4633-5bc6-9e90-c5d0514f9363')","Helium, in natural gas","('natural resource', 'in ground')",kilogram,Helium,He,4.0026,"[['He', 1]]",{'He': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'ebcc1f0c-6b19-501d-86a4-629df2a457b5')",Tungsten,"('natural resource', 'in ground')",kilogram,Tungsten,W,183.84,"[['W', 1]]",{'W': 1.0},0.00571,valero_fallback
"('ecoinvent-3.12-biosphere', '8de8befc-efa2-5d07-a58b-b29ea97a3f41')",Niobium,"('natural resource', 'in ground')",kilogram,Niobium,Nb,92.90637,"[['Nb', 1]]",{'Nb': 1.0},0.011,valero_fallback
"('ecoinvent-3.12-biosphere', '8f59aac5-7a7f-414c-a1c8-a0c492de03b4')",Sodium I,"('natural resource', 'in water')",kilogram,Sodium,Na,22.9897693,"[['Na', 1]]",{'Na': 1.0},0.0787,valero_fallback
"('ecoinvent-3.12-biosphere', '4602b501-1c9b-4af7-bb1c-864c70c3e855')",Krypton,"('natural resource', 'in air')",kilogram,Krypton,Kr,83.8,"[['Kr', 1]]",{'Kr': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '0b9159dd-305d-4add-802f-f7b780ed0289')",Sodium chloride,"('natural resource', 'in ground')",kilogram,Sodium chloride,ClNa,58.44,"[['Cl', 1], ['Na', 1]]","{'Cl': 0.606656399726215, 'Na': 0.3933949349760438}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'e07b4402-abe3-4346-8c42-051c5983bd1e')","Zirconia, as baddeleyite","('natural resource', 'in ground')",kilogram,Zirconia,O2Zr,123.22,"[['O', 2], ['Zr', 1]]","{'O': 0.2596818698263269, 'Zr': 0.740334361304983}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'eead2933-c2be-4a53-a0bd-bd33b67e4145')",Borax,"('natural resource', 'in ground')",kilogram,Borax,B4H20Na2O17,381.4,"[['B', 4], ['H', 20], ['Na', 2], ['O', 17]]","{'B': 0.11337178814892503, 'H': 0.05285789197692711, 'Na': 0.12055584687991609, 'O': 0.713117461982171}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'c8fc4197-7410-42f2-aeb4-c08c6a693992')",Calcium,"('natural resource', 'in ground')",kilogram,Calcium,Ca,40.08,"[['Ca', 1]]",{'Ca': 1.0},0.336,valero_fallback
