0,1,2,3
"('ecoinvent-3.4-biosphere', 'a7284b4f-39ea-40a8-8207-91e77c455a08')",Methyl amine,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', '6f478f7b-1817-4316-8dd8-c65fdc1c6be7')",Pyrethrin,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.4-biosphere', '38a622c6-f086-4763-a952-7c6b3b1c42ba')","1,4-Butanediol","('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', 'ccb169c3-8aae-4727-89bb-a7dd122946f3')","Particulates, > 2.5 um, and < 10um","('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', '651bd1c1-458e-4585-94e1-46409196de89')","Hydrocarbons, aliphatic, unsaturated","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '67799e83-54c8-4c89-90dc-1a7fa7780d2b')","Hydrocarbons, aromatic","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '79459b74-727a-465f-b0cb-aae38d1d39cc')","Oils, non-fossil","('soil', 'agricultural')",kilogram
"('ecoinvent-3.4-biosphere', '5bf42116-d991-4688-bf12-e3a6d9330b68')","Carboxylic acids, unspecified","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', 'c67be924-e68d-4bc1-9dd9-25f33a6cad34')","Hydrocarbons, aromatic","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', '21f77eaa-6f3e-426d-8932-fde33cd936d6')","Oils, unspecified","('soil',)",kilogram
"('ecoinvent-3.4-biosphere', '0b2a8601-aa6e-42e9-8091-21cba87c0f0c')","2,4-DB","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', '51c35cf0-3417-4d42-936f-9a6fd7a2638a')","Suspended solids, unspecified","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', 'a97ba30e-898d-4e73-bd62-ec8f636659c2')","Hydrocarbons, aliphatic, alkanes, cyclic","('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '13b07693-bf3c-4f08-8e21-a4a6b743106c')",Paraffins,"('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', 'e94f4bf3-3e8a-4aa1-a9c9-799218337fc6')",Paraffins,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', 'e620a933-c348-4e7e-8893-ab0a0f681c7e')","Hydrocarbons, unspecified","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '36c96aed-9335-4564-8cdd-46f01a13700c')","NMVOC, non-methane volatile organic compounds, unspecified origin","('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', '0561e8f7-bb2b-45b7-b4ab-e750f6842981')","Chlorinated solvents, unspecified","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '9115356e-a534-4329-9ec6-d9208720241b')",Nitrogen oxides,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '10b69d7a-018d-44c6-9a5e-e67fc9475b86')",Terpenes,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', 'faf05b06-da29-4af5-aa37-cfa4b802a297')","Hydrocarbons, aliphatic, alkanes, unspecified","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '5716c728-bd33-414d-8691-16e5534f5d37')","Particulates, > 2.5 um, and < 10um","('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', 'e6137e6e-84a6-4fa1-a5bf-47c8153d7c05')","2,4-D","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', 'c161d9b4-2237-4053-b549-9e0cfc201e0d')","Oils, non-fossil","('soil',)",kilogram
"('ecoinvent-3.4-biosphere', '9b7f06e5-0dc7-4c58-8300-034426d069b5')",Terpenes,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '49c42751-1b0b-4ab1-8e70-032e991ce6fd')","Hydrocarbons, unspecified","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', 'ec758e92-f235-4372-85b6-40a212e6f86c')",Tributyltin compounds,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '8244db98-b33f-4f4e-98e5-39dd130a1713')","Oils, non-fossil","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '7ab739f8-8846-4b20-a36b-c35e27053073')","Disinfectants, unspecified","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '77380aa2-c1c3-4027-8f3e-6f667e9bc909')","Herbicides, unspecified","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '07279b73-709f-4ac2-a9e1-82fbd01ce301')",Polychlorinated biphenyls,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', 'e6367875-dd2b-4d12-8d03-94cf2e607815')","2,4-D ester","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '7a7054c4-bc1e-4ae2-a31e-b7752bdbeb75')","Hydrocarbons, aliphatic, alkanes, unspecified","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', 'ae0d4a92-45f4-4293-9fdd-2bbe078bc75f')","Solids, inorganic","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '372dc06d-0cc9-4f85-9e00-9d452f2d3c7a')","Acidity, unspecified","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '604f9273-f26b-46be-83a7-3a65280011d1')","Particulates, > 2.5 um, and < 10um","('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', 'd7a10d03-8f76-4b5f-8dd5-5b0f827568fc')",Organic carbon,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', 'd051c442-f206-4d70-844d-7d44dbbc3d8e')","2,4-DB","('soil', 'agricultural')",kilogram
"('ecoinvent-3.4-biosphere', '049a1473-3a62-4121-982b-5d15d0f2c683')","Hydrocarbons, unspecified","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', 'd14eb0da-95fd-46c3-90db-55ca33d78701')","Hydrocarbons, chlorinated","('air',)",kilogram
"('ecoinvent-3.4-biosphere', 'f9abb851-8731-4c5b-b057-863996a1f94a')","Hydrocarbons, unspecified","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', 'b37294bd-947d-4f35-b9e6-3eb259c05ff5')","Acidity, unspecified","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '042e5892-cd59-4e95-949e-cacce0e6a590')","Hydrocarbons, unspecified","('soil',)",kilogram
"('ecoinvent-3.4-biosphere', '175baa64-d985-4c5e-84ef-67cc3a1cf952')","NMVOC, non-methane volatile organic compounds, unspecified origin","('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', 'f9952327-7cac-4b05-84cb-e96a3f0f239b')",Terpenes,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', '383f5952-45f7-4703-854e-41cd7f9cd8da')",Tributyltin compounds,"('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '81170b91-3f8b-425d-b927-ac6b6466b689')","Carboxylic acids, unspecified","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', 'fed18945-b0e0-47a4-8fa0-6bc99c3c512a')",Polychlorinated biphenyls,"('water',)",kilogram
"('ecoinvent-3.4-biosphere', '23c39061-9fdb-4753-8aaa-893a8cad4a4e')",Paraffins,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '5ce634de-b810-4533-9efb-719c38fe7c09')",Dissolved solids,"('water',)",kilogram
"('ecoinvent-3.4-biosphere', 'c7dcf08c-f297-495b-b7db-f4f54799814b')","2,4-D amines","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', 'd7853477-ebdb-4339-aecf-c1837f963bed')","Insecticides, unspecified","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '5c234628-ab1e-4284-ae2b-f1c2f6883f71')",Xylene,"('air',)",kilogram
"('ecoinvent-3.4-biosphere', '1d8560a8-23e0-57f0-ade2-69103c953de8')",Diphenylether-compound,"('water',)",kilogram
"('ecoinvent-3.4-biosphere', '5b7d620e-2238-5ec9-888a-6999218b6974')","1,3-Dioxolan-2-one","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '81801aa8-01a0-41ac-8c3e-4bbda8dd1381')","Hydrocarbons, aliphatic, alkanes, unspecified","('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '5e98fd60-8da0-4006-9729-4d2797f96302')","2,2,4-Trimethyl pentane","('air',)",kilogram
"('ecoinvent-3.4-biosphere', '645f66af-4b28-4b61-82fb-f30012cab42f')","Acidity, unspecified","('water', 'ground-, long-term')",kilogram
