flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,fraction,grade_source
"('ecoinvent-3.4-biosphere', '3e757249-9471-4e91-94e1-27346cbc7b82')","Benzene, chloro-","('water', 'ground-, long-term')",kilogram,Benzene,C6H6,78.11,"[['C', 6], ['H', 6]]","{'C': 0.9226219434131354, 'H': 0.07742926641915247}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '94eb8352-8af0-4929-b883-864b27fcfc96')",Propene,"('water',)",kilogram,Propene,C3H6,42.08,"[['C', 3], ['H', 6]]","{'C': 0.8562975285171104, 'H': 0.14372623574144489}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'ef4566f0-60d5-4bbe-a2cb-7268a81fecd4')","Methane, from soil or biomass stock","('air', 'lower stratosphere + upper troposphere')",kilogram,Methane,CH4,16.043,"[['C', 1], ['H', 4]]","{'C': 0.7486754347690582, 'H': 0.2513245652309419}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '90f722bf-cb9b-571a-88fc-34286632bdc4')",Ethylene,"('air',)",kilogram,Ethylene,C2H4,28.05,"[['C', 2], ['H', 4]]","{'C': 0.8563992869875222, 'H': 0.14374331550802139}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'bedc1f3e-71d2-4bb9-9699-c77603031f81')",Diflubenzuron,"('air', 'non-urban air or from high stacks')",kilogram,Diflubenzuron,C14H9ClF2N2O2,310.68,"[['C', 14], ['H', 9], ['Cl', 1], ['F', 2], ['N', 2], ['O', 2]]","{'C': 0.5412450109437363, 'H': 0.029200463499420622, 'Cl': 0.11411420110724863, 'F': 0.12229947212565985, 'N': 0.09016994978756276, 'O': 0.1029934337582078}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '0e1c17ae-8144-4714-a7cd-786a5480f423')",Barium,"('water',)",kilogram,Barium,Ba,137.33,"[['Ba', 1]]",{'Ba': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'dd786e61-d387-4dc4-8314-2a5f958e7168')",Cyfluthrin,"('soil', 'agricultural')",kilogram,Cyfluthrin,C22H18Cl2FNO3,434.3,"[['C', 22], ['H', 18], ['Cl', 2], ['F', 1], ['N', 1], ['O', 3]]","{'C': 0.6084319594750172, 'H': 0.04177757310614782, 'Cl': 0.1632650241768363, 'F': 0.04374395579092793, 'N': 0.032251899608565504, 'O': 0.1105157725074833}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'ef06f2a4-4b8c-4740-9e06-0c2126d1839a')",Methyl acetate,"('air', 'urban air close to ground')",kilogram,Methyl acetate,C3H6O2,74.08,"[['C', 3], ['H', 6], ['O', 2]]","{'C': 0.4864065874730022, 'H': 0.08164146868250541, 'O': 0.4319384449244061}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '64836dd0-8b0f-41ba-a7d3-be54358fc4b3')",Phenol,"('water', 'surface water')",kilogram,Phenol,C6H6O,94.11,"[['C', 6], ['H', 6], ['O', 1]]","{'C': 0.765763468281798, 'H': 0.06426522154925088, 'O': 0.17000318775900541}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '01285299-c683-4e15-b654-201987a7a738')",Chromium VI,"('soil', 'forestry')",kilogram,Chromium,Cr,51.996,"[['Cr', 1]]",{'Cr': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '74eb3f02-09ec-46ce-8ee8-d67d0900136b')",Cobalt,"('air', 'low population density, long-term')",kilogram,Cobalt,Co,58.93319,"[['Co', 1]]",{'Co': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '16316600-f12a-410b-8726-3faee64de60a')",Silver,"('soil', 'industrial')",kilogram,Silver,Ag,107.868,"[['Ag', 1]]",{'Ag': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'af60ad28-ce2b-4ea0-9277-983538e1a739')",Chromium IV,"('air', 'urban air close to ground')",kilogram,Chromium,Cr,51.996,"[['Cr', 1]]",{'Cr': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '5ce378a0-b48d-471c-977d-79681521efde')",Zinc,"('air',)",kilogram,Zinc,Zn,65.4,"[['Zn', 1]]",{'Zn': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'f28d5dfb-632d-469b-b0c2-a55ce78155ff')",Fenoxaprop,"('air', 'non-urban air or from high stacks')",kilogram,Fenoxaprop,C16H12ClNO5,333.72,"[['C', 16], ['H', 12], ['Cl', 1], ['N', 1], ['O', 5]]","{'C': 0.5758600023972191, 'H': 0.036245954692556634, 'Cl': 0.10623576651084742, 'N': 0.04197231211794318, 'O': 0.2397069399496584}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '26eb22d8-e0cf-45a6-b09e-b8609fe6c8eb')",Acenaphthene,"('water', 'ground-, long-term')",kilogram,Acenaphthene,C12H10,154.21,"[['C', 12], ['H', 10]]","{'C': 0.9346475585240905, 'H': 0.06536541080344983}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'abb7f444-e74a-46b5-a6a5-080a847cbbc5')",Strontium,"('air', 'urban air close to ground')",kilogram,Strontium,Sr,87.62,"[['Sr', 1]]",{'Sr': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'cdf99498-1489-4226-97ad-94fa85b0528b')",t-Butylamine,"('air', 'urban air close to ground')",kilogram,t-Butylamine,C4H11N,73.14,"[['C', 4], ['H', 11], ['N', 1]]","{'C': 0.6568772217664752, 'H': 0.15159967186218212, 'N': 0.19150943396226414}",1.0,dissipation
